time,displacement,velocity,acceleration
19.028015421994496,4095.0,0.0,0.0
19.177890395993018,4095.0,0.0,0.0
19.32787449499301,4095.0,0.0,0.0
19.477912985996227,4095.0,0.0,0.0
19.627725002006628,4095.0,0.0,0.0
19.7775081830041,4095.0,0.0,0.0
19.927765850006836,4095.0,0.0,0.0
20.077308227002504,4095.0,0.0,0.0
20.22758486100065,4095.0,0.0,0.0
20.377596139005618,4095.0,0.0,0.0
20.527496891998453,4095.0,0.0,0.0
20.67745675399783,4095.0,0.0,0.0
20.827387241995893,4095.0,0.0,0.0
20.9773890869983,4095.0,0.0,0.0
21.127379333993304,4095.0,0.0,0.0
21.27691333499388,4095.0,0.0,0.0
21.42713111700141,4095.0,0.0,0.0
21.57724636599596,4095.0,0.0,0.0
21.726770466004382,4095.0,0.0,0.0
